scenario,year,variable,commodity,sector,subsector,unit,value
BAU,2017,energy demand,Coal,PaperPr,,10 billion CNY,3.4154153
BAU,2017,energy demand,RefPet,PaperPr,,10 billion CNY,1.0417557
BAU,2017,energy demand,ElecDist,PaperPr,,10 billion CNY,6.8889823
BAU,2017,energy demand,GasDist,PaperPr,,10 billion CNY,0.43001148
BAU,2017,domestic demand,,PaperPr,,10 billion CNY,329.7279
BAU,2017,commodity price,,PaperPr,,1,1.0
BAU,2017,investment,,PaperPr,,10 billion CNY,6.0840597
BAU,2017,government consumption,PaperPr,,,10 billion CNY,0.0
BAU,2017,household consumption,PaperPr,RuralHH,,10 billion CNY,4.9574757
BAU,2017,household consumption,PaperPr,UrbanHH,,10 billion CNY,25.064976
BAU,2017,output,,RefPet,,10 billion CNY,376.54788
BAU,2017,production cost,,RefPet,,1,1.0
BAU,2017,capital demand,,RefPet,,10 billion CNY,24.966265
BAU,2017,labor demand,,RefPet,,10 billion CNY,10.948403
BAU,2017,CO2,,RefPet,,0.1 billion tons,1.3670841
BAU,2017,energy demand,Coal,RefPet,,10 billion CNY,21.769384
BAU,2017,energy demand,RefPet,RefPet,,10 billion CNY,25.937145
BAU,2017,energy demand,ElecDist,RefPet,,10 billion CNY,5.5110283
BAU,2017,energy demand,GasDist,RefPet,,10 billion CNY,0.5318478
BAU,2017,domestic demand,,RefPet,,10 billion CNY,363.2156
BAU,2017,commodity price,,RefPet,,1,1.0
BAU,2017,investment,,RefPet,,10 billion CNY,3.4494045
BAU,2017,government consumption,RefPet,,,10 billion CNY,0.0
BAU,2017,household consumption,RefPet,RuralHH,,10 billion CNY,2.38001
BAU,2017,household consumption,RefPet,UrbanHH,,10 billion CNY,26.647308
BAU,2017,output,,Chemical,,10 billion CNY,1489.9775
BAU,2017,production cost,,Chemical,,1,1.0
BAU,2017,capital demand,,Chemical,,10 billion CNY,154.51532
BAU,2017,labor demand,,Chemical,,10 billion CNY,113.40968
BAU,2017,CO2,,Chemical,,0.1 billion tons,2.5831263
BAU,2017,energy demand,Coal,Chemical,,10 billion CNY,23.110668
BAU,2017,energy demand,RefPet,Chemical,,10 billion CNY,69.21247
BAU,2017,energy demand,ElecDist,Chemical,,10 billion CNY,53.301056
BAU,2017,energy demand,GasDist,Chemical,,10 billion CNY,2.3559053
BAU,2017,domestic demand,,Chemical,,10 billion CNY,1369.4497
BAU,2017,commodity price,,Chemical,,1,1.0
BAU,2017,investment,,Chemical,,10 billion CNY,3.943729
BAU,2017,government consumption,Chemical,,,10 billion CNY,0.0
BAU,2017,household consumption,Chemical,RuralHH,,10 billion CNY,16.37028
BAU,2017,household consumption,Chemical,UrbanHH,,10 billion CNY,70.36078
BAU,2017,output,,NMetPr,,10 billion CNY,649.45746
BAU,2017,production cost,,NMetPr,,1,1.0
BAU,2017,capital demand,,NMetPr,,10 billion CNY,93.97914
BAU,2017,labor demand,,NMetPr,,10 billion CNY,69.163635
BAU,2017,CO2,,NMetPr,,0.1 billion tons,4.9326096
BAU,2017,energy demand,Coal,NMetPr,,10 billion CNY,32.752594
BAU,2017,energy demand,RefPet,NMetPr,,10 billion CNY,20.81662
BAU,2017,energy demand,ElecDist,NMetPr,,10 billion CNY,32.430492
BAU,2017,energy demand,GasDist,NMetPr,,10 billion CNY,0.2187942
BAU,2017,domestic demand,,NMetPr,,10 billion CNY,620.62994
BAU,2017,commodity price,,NMetPr,,1,1.0
BAU,2017,investment,,NMetPr,,10 billion CNY,0.7811685
BAU,2017,government consumption,NMetPr,,,10 billion CNY,0.0
BAU,2017,household consumption,NMetPr,RuralHH,,10 billion CNY,1.2602813
BAU,2017,household consumption,NMetPr,UrbanHH,,10 billion CNY,3.7729888
BAU,2017,output,,Metals,,10 billion CNY,1045.5731
BAU,2017,production cost,,Metals,,1,1.0
BAU,2017,capital demand,,Metals,,10 billion CNY,125.39965
BAU,2017,labor demand,,Metals,,10 billion CNY,72.85463
BAU,2017,CO2,,Metals,,0.1 billion tons,17.37849
BAU,2017,energy demand,Coal,Metals,,10 billion CNY,24.14042
BAU,2017,energy demand,RefPet,Metals,,10 billion CNY,43.04412
BAU,2017,energy demand,ElecDist,Metals,,10 billion CNY,51.912872
BAU,2017,energy demand,GasDist,Metals,,10 billion CNY,0.284498
BAU,2017,domestic demand,,Metals,,10 billion CNY,996.4845
BAU,2017,commodity price,,Metals,,1,1.0
BAU,2017,investment,,Metals,,10 billion CNY,3.5293567
BAU,2017,government consumption,Metals,,,10 billion CNY,0.0
BAU,2017,household consumption,Metals,RuralHH,,10 billion CNY,0.0
BAU,2017,household consumption,Metals,UrbanHH,,10 billion CNY,0.0
BAU,2017,output,,MetalPr,,10 billion CNY,429.23923
BAU,2017,production cost,,MetalPr,,1,1.0
BAU,2017,capital demand,,MetalPr,,10 billion CNY,39.974014
BAU,2017,labor demand,,MetalPr,,10 billion CNY,51.343426
BAU,2017,CO2,,MetalPr,,0.1 billion tons,0.09950015
BAU,2017,energy demand,Coal,MetalPr,,10 billion CNY,0.4465075
BAU,2017,energy demand,RefPet,MetalPr,,10 billion CNY,3.0387993
BAU,2017,energy demand,ElecDist,MetalPr,,10 billion CNY,18.424345
BAU,2017,energy demand,GasDist,MetalPr,,10 billion CNY,0.3814926
BAU,2017,domestic demand,,MetalPr,,10 billion CNY,376.8474
BAU,2017,commodity price,,MetalPr,,1,1.0
BAU,2017,investment,,MetalPr,,10 billion CNY,24.88943
BAU,2017,government consumption,MetalPr,,,10 billion CNY,0.0
BAU,2017,household consumption,MetalPr,RuralHH,,10 billion CNY,0.7198566
